"Player","Pos","Team","Points","VOR","Rank","PosRank","YRank","VOY","YRankVOR"
"Kareem Hunt","RB(7)","KC",240.93,75.93,9,7,13,4,987.09
"Todd Gurley","RB(1)","LAR",311.24,146.24,1,1,1,0,146.24
"Alvin Kamara","RB(5)","NO",265.19,100.19,5,5,6,1,601.14
"Le'Veon Bell","RB(2)","PIT",305.65,140.65,2,2,2,0,281.3
"David Johnson","RB(3)","ARI",289.82,124.82,3,3,3,0,374.46
"Ezekiel Elliott","RB(4)","DAL",272.18,107.18,4,4,4,0,428.72
"Saquon Barkley","RB(9)","NYG",234.66,69.66,12,9,7,-5,487.62
"Melvin Gordon","RB(6)","LAC",243.54,78.54,8,6,9,1,706.86
"Leonard Fournette","RB(8)","JAC",237.5,72.5,10,8,12,2,870
"Antonio Brown","WR(1)","PIT",260.91,95.27,6,1,5,-1,476.35
"DeAndre Hopkins","WR(2)","HOU",237.07,71.43,11,2,8,-3,571.44
"Julio Jones","WR(3)","ATL",233.91,68.27,13,3,11,-2,750.97
"Odell Beckham","WR(4)","NYG",224.38,58.74,16,4,10,-6,587.4
"Devonta Freeman","RB(12)","ATL",213.03,48.03,21,12,23,2,1104.69
"Rob Gronkowski","TE(1)","NE",203.01,84.93,7,1,18,11,1528.74
"Keenan Allen","WR(6)","LAC",219.29,53.65,20,6,15,-5,804.75
"Christian McCaffrey","RB(10)","CAR",222.08,57.08,17,10,22,5,1255.76
"A.J. Green","WR(8)","CIN",203.35,37.71,25,8,17,-8,641.07
"Davante Adams","WR(7)","GB",203.59,37.95,24,7,16,-8,607.2
"Aaron Rodgers","QB(1)","GB",324.676,60.52,15,1,35,20,2118.2
"Michael Thomas","WR(5)","NO",219.89,54.25,19,5,14,-5,759.5
"Dalvin Cook","RB(11)","MIN",220.33,55.33,18,11,24,6,1327.92
"Travis Kelce","TE(2)","KC",181.94,63.86,14,2,20,6,1277.2
"Tyreek Hill","WR(10)","KC",193.36,27.72,29,10,21,-8,582.12
"Mike Evans","WR(9)","TB",196.18,30.54,27,9,19,-8,580.26
"Adam Thielen","WR(14)","MIN",182.47,16.83,41,14,27,-14,454.41
"Jordan Howard","RB(14)","CHI",189.29,24.29,31,14,26,-5,631.54
"Joe Mixon","RB(15)","CIN",183.35,18.35,38,15,32,-6,587.2
"Alex Collins","RB(16)","BAL",180.27,15.27,45,16,42,-3,641.34
"Stefon Diggs","WR(12)","MIN",182.85,17.21,39,12,25,-14,430.25
"Zach Ertz","TE(3)","PHI",163.41,45.33,22,3,29,7,1314.57
"Larry Fitzgerald","WR(11)","ARI",184.41,18.77,36,11,28,-8,525.56
"Lamar Miller","RB(20)","HOU",168.16,3.16,58,20,48,-10,151.68
"JuJu Smith-Schuster","WR(20)","PIT",168.78,3.14,59,20,31,-28,97.34
"Kenyan Drake","RB(19)","MIA",170.71,5.71,53,19,36,-17,205.56
"T.Y. Hilton","WR(16)","IND",181.82,16.18,44,16,30,-14,485.4
"Doug Baldwin","WR(13)","SEA",182.76,17.12,40,13,37,-3,633.44
"Amari Cooper","WR(15)","OAK",182.4,16.76,42,15,33,-9,553.08
"Golden Tate","WR(18)","DET",174.02,8.38,49,18,34,-15,284.92
"Jimmy Graham","TE(7)","GB",134.51,16.43,43,7,55,12,903.65
"DeSean Jackson","WR(51)","TB",118.09,-47.55,142,51,203,61,-9652.65
"Cam Newton","QB(5)","CAR",287.014,22.86,32,5,40,8,914.4
"Derrick Henry","RB(17)","TEN",173.47,8.47,48,17,45,-3,381.15
"LeSean McCoy","RB(13)","BUF",194.81,29.81,28,13,46,18,1371.26
"Jay Ajayi","RB(21)","PHI",165,0,62,21,43,-19,0
"Tom Brady","QB(2)","NE",302.944,38.79,23,2,49,26,1900.71
"Brandin Cooks","WR(24)","LAR",160.31,-5.33,70,24,61,-9,-325.13
"C.J. Beathard","QB(55)","SF",5.902,-258.25,491,55,275,-216,-71018.75
"Ameer Abdullah","RB(91)","DET",29.55,-135.45,354,91,264,-90,-35758.8
"Russell Wilson","QB(3)","SEA",297.108,32.95,26,3,47,21,1548.65
"Royce Freeman","RB(18)","DEN",171.43,6.43,51,18,52,1,334.36
"Drew Brees","QB(6)","NO",282.816,18.66,37,6,51,14,951.66
"Chris Hogan","WR(27)","NE",154.21,-11.43,76,27,41,-35,-468.63
"Deshaun Watson","QB(4)","HOU",290.64,26.49,30,4,50,20,1324.5
"Jarvis Landry","WR(19)","CLE",168.84,3.2,57,19,38,-19,121.6
"Dion Lewis","RB(27)","TEN",142.85,-22.15,100,27,56,-44,-1240.4
"Josh Gordon","WR(23)","CLE",160.69,-4.95,69,23,44,-25,-217.8
"Matthew Stafford","QB(9)","DET",267.76,3.61,56,9,64,8,231.04
"Demaryius Thomas","WR(17)","DEN",178.13,12.49,46,17,39,-7,487.11
"Allen Robinson","WR(21)","CHI",165.64,0,63,21,53,-10,0
"Marshawn Lynch","RB(28)","OAK",141.66,-23.34,101,28,70,-31,-1633.8
"Greg Olsen","TE(4)","CAR",139.64,21.56,33,4,63,30,1358.28
"Mark Ingram","RB(22)","NO",150.67,-14.33,80,22,69,-11,-988.77
"Rex Burkhead","RB(25)","NE",144.23,-20.77,96,25,60,-36,-1246.2
"Marvin Jones","WR(22)","DET",163.05,-2.59,66,22,57,-9,-147.63
"Chris Thompson","RB(34)","WAS",131.92,-33.08,121,34,105,-16,-3473.4
"Devin Funchess","WR(30)","CAR",148.08,-17.56,88,30,82,-6,-1439.92
